"No","Gender","Age","Education Level","Institution Type","Financial Condition","Internet Type","Self Lms","Device","Adaptivity Level"
"1036","Girl","21-25","University","Non Government","Mid","Wifi","Yes","Mobile","Moderate"
"1037","Girl","21-25","College","Government","Mid","Mobile Data","No","Mobile","Moderate"
"1038","Girl","6-10","School","Non Government","Poor","Mobile Data","No","Mobile","High"
"1039","Girl","26-30","University","Government","Poor","Mobile Data","No","Mobile","Low"
"1040","Girl","11-15","School","Government","Mid","Wifi","No","Mobile","Low"
"1041","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Computer","Moderate"
"1042","Girl","21-25","University","Non Government","Mid","Wifi","Yes","Mobile","Moderate"
"1043","Girl","16-20","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1044","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1045","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Computer","Low"
"1046","Boy","21-25","University","Non Government","Mid","Wifi","No","Computer","Moderate"
"1047","Girl","1-5","School","Non Government","Poor","Mobile Data","No","Mobile","Moderate"
"1048","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1049","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1050","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Computer","Low"
"1051","Boy","16-20","College","Government","Mid","Wifi","No","Mobile","Low"
"1052","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1053","Boy","21-25","University","Non Government","Mid","Mobile Data","Yes","Mobile","Moderate"
"1054","Boy","26-30","University","Government","Poor","Mobile Data","No","Mobile","Moderate"
"1055","Boy","1-5","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1056","Girl","1-5","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1057","Boy","21-25","University","Government","Mid","Mobile Data","No","Mobile","Low"
"1058","Girl","16-20","University","Non Government","Mid","Mobile Data","No","Mobile","Low"
"1059","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Low"
"1060","Boy","16-20","School","Government","Poor","Mobile Data","No","Mobile","Low"
"1061","Boy","21-25","University","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1062","Boy","21-25","College","Government","Mid","Mobile Data","No","Mobile","Low"
"1063","Girl","16-20","College","Non Government","Mid","Mobile Data","Yes","Mobile","Moderate"
"1064","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1065","Boy","11-15","School","Non Government","Poor","Wifi","No","Mobile","Low"
"1066","Boy","26-30","University","Government","Mid","Mobile Data","No","Mobile","High"
"1067","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1068","Girl","6-10","School","Government","Mid","Mobile Data","No","Mobile","Low"
"1069","Girl","11-15","School","Government","Mid","Wifi","No","Mobile","Low"
"1070","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1071","Boy","21-25","College","Government","Poor","Mobile Data","Yes","Mobile","Low"
"1072","Girl","16-20","College","Government","Mid","Mobile Data","No","Mobile","Low"
"1073","Boy","21-25","University","Government","Mid","Mobile Data","No","Mobile","Low"
"1074","Girl","11-15","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1075","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1076","Girl","6-10","School","Non Government","Mid","Mobile Data","No","Mobile","Low"
"1077","Girl","16-20","College","Non Government","Mid","Mobile Data","Yes","Mobile","Moderate"
"1078","Girl","21-25","College","Government","Mid","Mobile Data","No","Mobile","Low"
"1079","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1080","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1081","Boy","11-15","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1082","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1083","Boy","21-25","University","Non Government","Mid","Wifi","No","Computer","Moderate"
"1084","Girl","11-15","School","Government","Mid","Mobile Data","No","Mobile","Low"
"1085","Girl","1-5","School","Non Government","Poor","Mobile Data","No","Mobile","Moderate"
"1086","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1087","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","High"
"1088","Girl","21-25","University","Non Government","Mid","Wifi","Yes","Mobile","Moderate"
"1089","Boy","11-15","School","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1090","Boy","26-30","University","Government","Poor","Mobile Data","No","Mobile","Low"
"1091","Boy","21-25","University","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1092","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Computer","Moderate"
"1093","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Computer","Moderate"
"1094","Boy","21-25","University","Non Government","Poor","Mobile Data","Yes","Mobile","Low"
"1095","Girl","1-5","School","Non Government","Poor","Mobile Data","No","Mobile","Moderate"
"1096","Girl","16-20","University","Non Government","Mid","Wifi","No","Computer","Moderate"
"1097","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1098","Girl","11-15","School","Government","Poor","Mobile Data","No","Mobile","Low"
"1099","Boy","21-25","University","Non Government","Mid","Wifi","Yes","Mobile","Moderate"
"1100","Boy","16-20","College","Government","Mid","Wifi","No","Mobile","Low"
