"""No"",""Gender"",""Age"",""Education Level"",""Institution Type"",""IT Student"",""Location"",""Load-shedding"",""Financial Condition"",""Internet Type"",""Network Type"",""Class Duration"",""Self Lms"",""Device"",""Adaptivity Level"""
"27,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"28,""Boy"",""26-30"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""3-6"",""No"",""Computer"",""Moderate"""
"29,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"30,""Girl"",""16-20"",""College"",""Non Government"",""No"",""Yes"",""High"",""Mid"",""Wifi"",""4G"",""3-6"",""No"",""Mobile"",""Moderate"""
"31,""Girl"",""6-10"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Moderate"""
"32,""Girl"",""16-20"",""College"",""Non Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"33,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"34,""Girl"",""16-20"",""College"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"35,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Low"""
"36,""Girl"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""3G"",""3-6"",""Yes"",""Mobile"",""Moderate"""
"37,""Girl"",""21-25"",""College"",""Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"38,""Girl"",""6-10"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""High"""
"39,""Girl"",""26-30"",""University"",""Government"",""No"",""No"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"40,""Girl"",""11-15"",""School"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""3G"",""1-3"",""No"",""Mobile"",""Low"""
"41,""Boy"",""21-25"",""University"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""3-6"",""Yes"",""Computer"",""Moderate"""
"42,""Girl"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""Yes"",""Mobile"",""Moderate"""
"43,""Girl"",""16-20"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""3G"",""0"",""No"",""Mobile"",""Low"""
"44,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"45,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""3G"",""3-6"",""Yes"",""Computer"",""Low"""
"46,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Computer"",""Moderate"""
"47,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"48,""Girl"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Moderate"""
"49,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"50,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""3G"",""3-6"",""Yes"",""Computer"",""Low"""
"51,""Boy"",""16-20"",""College"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"52,""Girl"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"53,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""High"",""Mid"",""Mobile Data"",""3G"",""3-6"",""Yes"",""Mobile"",""Moderate"""
"54,""Boy"",""26-30"",""University"",""Government"",""Yes"",""No"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"55,""Boy"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"56,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"57,""Boy"",""21-25"",""University"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"58,""Girl"",""16-20"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Low"""
"59,""Girl"",""11-15"",""School"",""Non Government"",""No"",""No"",""High"",""Mid"",""Mobile Data"",""3G"",""0"",""No"",""Mobile"",""Low"""
"60,""Boy"",""16-20"",""School"",""Government"",""No"",""No"",""Low"",""Poor"",""Mobile Data"",""3G"",""0"",""No"",""Mobile"",""Low"""
"61,""Boy"",""21-25"",""University"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""3-6"",""No"",""Mobile"",""Moderate"""
"62,""Boy"",""21-25"",""College"",""Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"63,""Girl"",""16-20"",""College"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""Yes"",""Mobile"",""Moderate"""
"64,""Boy"",""11-15"",""School"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"65,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""High"",""Poor"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"66,""Boy"",""26-30"",""University"",""Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""High"""
"67,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Moderate"""
"68,""Girl"",""6-10"",""School"",""Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""3G"",""0"",""No"",""Mobile"",""Low"""
"69,""Girl"",""11-15"",""School"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
"70,""Boy"",""11-15"",""School"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"71,""Boy"",""21-25"",""College"",""Government"",""No"",""No"",""High"",""Poor"",""Mobile Data"",""3G"",""1-3"",""Yes"",""Mobile"",""Low"""
"72,""Girl"",""16-20"",""College"",""Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"73,""Boy"",""21-25"",""University"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"74,""Girl"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Low"""
"75,""Boy"",""11-15"",""School"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"76,""Girl"",""6-10"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""2G"",""1-3"",""No"",""Mobile"",""Low"""
"77,""Girl"",""16-20"",""College"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""Yes"",""Mobile"",""Moderate"""
"78,""Girl"",""21-25"",""College"",""Government"",""No"",""No"",""High"",""Mid"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"79,""Girl"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""3-6"",""No"",""Mobile"",""Moderate"""
"80,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"81,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Low"""
"82,""Girl"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""3-6"",""No"",""Mobile"",""Moderate"""
"83,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Computer"",""Moderate"""
"84,""Girl"",""11-15"",""School"",""Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""3G"",""0"",""No"",""Mobile"",""Low"""
"85,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"86,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""3G"",""1-3"",""No"",""Mobile"",""Moderate"""
"87,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""High"""
"88,""Girl"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""Yes"",""Mobile"",""Moderate"""
"89,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""High"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"90,""Boy"",""26-30"",""University"",""Government"",""No"",""No"",""Low"",""Poor"",""Mobile Data"",""4G"",""0"",""No"",""Mobile"",""Low"""
"91,""Boy"",""21-25"",""University"",""Non Government"",""No"",""No"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"92,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""3-6"",""Yes"",""Computer"",""Moderate"""
"93,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""3G"",""3-6"",""Yes"",""Computer"",""Moderate"""
"94,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""High"",""Poor"",""Mobile Data"",""3G"",""1-3"",""Yes"",""Mobile"",""Low"""
"95,""Girl"",""1-5"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Poor"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"96,""Girl"",""16-20"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Computer"",""Moderate"""
"97,""Boy"",""11-15"",""School"",""Non Government"",""No"",""Yes"",""Low"",""Mid"",""Mobile Data"",""4G"",""1-3"",""No"",""Mobile"",""Moderate"""
"98,""Girl"",""11-15"",""School"",""Government"",""No"",""No"",""High"",""Poor"",""Mobile Data"",""2G"",""1-3"",""No"",""Mobile"",""Low"""
"99,""Boy"",""21-25"",""University"",""Non Government"",""Yes"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""Yes"",""Mobile"",""Moderate"""
"100,""Boy"",""16-20"",""College"",""Government"",""No"",""Yes"",""Low"",""Mid"",""Wifi"",""4G"",""1-3"",""No"",""Mobile"",""Low"""
